window_id,source_stage,symbol,reference_label,market_regime,confidence,nison_trace_available,nison_detailed_events_available,altunina_trace_available,altunina_swing_points_available,schwager_trace_available,schwager_range_bounds_available,matrix_trace_available,composer_raw_scores_available,composer_clamped_scores_available,composer_fallback_reason_available,human_explanation_available,missing_trace_field_count,behavior_lock_ok,notes
sol_15m_recent_baseline_001,ENGINE-TREND-15,SOLUSDT,EXPECTED_UNKNOWN_OR_MIXED,UNKNOWN,0.3,True,True,True,True,True,False,True,False,True,True,True,4,True,Raw/pre-clamp composer scores are not exposed.
btcusdt_15m_up_001,ENGINE-TREND-15B,BTCUSDT,EXPECTED_UP,UNKNOWN,0.3,True,True,True,True,True,False,True,False,True,True,True,4,True,Raw/pre-clamp composer scores are not exposed.
btcusdt_15m_down_001,ENGINE-TREND-15B,BTCUSDT,EXPECTED_DOWN,UNKNOWN,0.3,True,True,True,True,True,False,True,False,True,True,True,4,True,Raw/pre-clamp composer scores are not exposed.
btcusdt_15m_flat_001,ENGINE-TREND-15B,BTCUSDT,EXPECTED_FLAT,UNKNOWN,0.3,True,True,True,True,True,False,True,False,True,True,True,4,True,Raw/pre-clamp composer scores are not exposed.
btcusdt_15m_mixed_001,ENGINE-TREND-15B,BTCUSDT,EXPECTED_UNKNOWN_OR_MIXED,UNKNOWN,0.3,True,True,True,True,True,False,True,False,True,True,True,4,True,Raw/pre-clamp composer scores are not exposed.
btcusdt_15m_high_volatility_chop_001,ENGINE-TREND-15B,BTCUSDT,HIGH_VOLATILITY_CHOP,UNKNOWN,0.3,True,True,True,True,True,False,True,False,True,True,True,4,True,Raw/pre-clamp composer scores are not exposed.
btcusdt_15m_up_002,ENGINE-TREND-15B,BTCUSDT,EXPECTED_UP,UNKNOWN,0.3,True,True,True,True,True,False,True,False,True,True,True,4,True,Raw/pre-clamp composer scores are not exposed.
btcusdt_15m_down_002,ENGINE-TREND-15B,BTCUSDT,EXPECTED_DOWN,UNKNOWN,0.3,True,True,True,True,True,False,True,False,True,True,True,4,True,Raw/pre-clamp composer scores are not exposed.
btcusdt_15m_flat_002,ENGINE-TREND-15B,BTCUSDT,EXPECTED_FLAT,UNKNOWN,0.3,True,True,True,True,True,False,True,False,True,True,True,4,True,Raw/pre-clamp composer scores are not exposed.
btcusdt_15m_mixed_002,ENGINE-TREND-15B,BTCUSDT,EXPECTED_UNKNOWN_OR_MIXED,UNKNOWN,0.3,True,True,True,True,True,False,True,False,True,True,True,4,True,Raw/pre-clamp composer scores are not exposed.
btcusdt_15m_up_003,ENGINE-TREND-15B,BTCUSDT,EXPECTED_UP,UNKNOWN,0.3,True,True,True,True,True,False,True,False,True,True,True,4,True,Raw/pre-clamp composer scores are not exposed.
btcusdt_15m_down_003,ENGINE-TREND-15B,BTCUSDT,EXPECTED_DOWN,UNKNOWN,0.3,True,True,True,True,True,False,True,False,True,True,True,4,True,Raw/pre-clamp composer scores are not exposed.
btcusdt_15m_flat_003,ENGINE-TREND-15B,BTCUSDT,EXPECTED_FLAT,UNKNOWN,0.3,True,True,True,True,True,False,True,False,True,True,True,4,True,Raw/pre-clamp composer scores are not exposed.
btcusdt_15m_mixed_003,ENGINE-TREND-15B,BTCUSDT,EXPECTED_UNKNOWN_OR_MIXED,UNKNOWN,0.3,True,True,True,True,True,False,True,False,True,True,True,4,True,Raw/pre-clamp composer scores are not exposed.
btcusdt_15m_up_004,ENGINE-TREND-15B,BTCUSDT,EXPECTED_UP,UNKNOWN,0.3,True,True,True,True,True,False,True,False,True,True,True,4,True,Raw/pre-clamp composer scores are not exposed.
btcusdt_15m_recent_baseline_001,ENGINE-TREND-15B,BTCUSDT,RECENT_BASELINE,UNKNOWN,0.3,True,True,True,True,True,False,True,False,True,True,True,4,True,Raw/pre-clamp composer scores are not exposed.
solusdt_15m_up_001,ENGINE-TREND-15B,SOLUSDT,EXPECTED_UP,UNKNOWN,0.3,True,True,True,True,True,False,True,False,True,True,True,4,True,Raw/pre-clamp composer scores are not exposed.
solusdt_15m_down_001,ENGINE-TREND-15B,SOLUSDT,EXPECTED_DOWN,UNKNOWN,0.3,True,True,True,True,True,False,True,False,True,True,True,4,True,Raw/pre-clamp composer scores are not exposed.
solusdt_15m_flat_001,ENGINE-TREND-15B,SOLUSDT,EXPECTED_FLAT,UNKNOWN,0.3,True,True,True,True,True,False,True,False,True,True,True,4,True,Raw/pre-clamp composer scores are not exposed.
solusdt_15m_mixed_001,ENGINE-TREND-15B,SOLUSDT,EXPECTED_UNKNOWN_OR_MIXED,UNKNOWN,0.3,True,True,True,True,True,False,True,False,True,True,True,4,True,Raw/pre-clamp composer scores are not exposed.
solusdt_15m_high_volatility_chop_001,ENGINE-TREND-15B,SOLUSDT,HIGH_VOLATILITY_CHOP,UNKNOWN,0.3,True,True,True,True,True,False,True,False,True,True,True,4,True,Raw/pre-clamp composer scores are not exposed.
solusdt_15m_up_002,ENGINE-TREND-15B,SOLUSDT,EXPECTED_UP,UNKNOWN,0.3,True,True,True,True,True,False,True,False,True,True,True,4,True,Raw/pre-clamp composer scores are not exposed.
solusdt_15m_down_002,ENGINE-TREND-15B,SOLUSDT,EXPECTED_DOWN,UNKNOWN,0.3,True,True,True,True,True,False,True,False,True,True,True,4,True,Raw/pre-clamp composer scores are not exposed.
solusdt_15m_flat_002,ENGINE-TREND-15B,SOLUSDT,EXPECTED_FLAT,UNKNOWN,0.3,True,True,True,True,True,False,True,False,True,True,True,4,True,Raw/pre-clamp composer scores are not exposed.
solusdt_15m_mixed_002,ENGINE-TREND-15B,SOLUSDT,EXPECTED_UNKNOWN_OR_MIXED,UNKNOWN,0.3,True,True,True,True,True,False,True,False,True,True,True,4,True,Raw/pre-clamp composer scores are not exposed.
solusdt_15m_up_003,ENGINE-TREND-15B,SOLUSDT,EXPECTED_UP,UNKNOWN,0.3,True,True,True,True,True,False,True,False,True,True,True,4,True,Raw/pre-clamp composer scores are not exposed.
solusdt_15m_down_003,ENGINE-TREND-15B,SOLUSDT,EXPECTED_DOWN,UNKNOWN,0.3,True,True,True,True,True,False,True,False,True,True,True,4,True,Raw/pre-clamp composer scores are not exposed.
solusdt_15m_flat_003,ENGINE-TREND-15B,SOLUSDT,EXPECTED_FLAT,UNKNOWN,0.3,True,True,True,True,True,False,True,False,True,True,True,4,True,Raw/pre-clamp composer scores are not exposed.
solusdt_15m_mixed_003,ENGINE-TREND-15B,SOLUSDT,EXPECTED_UNKNOWN_OR_MIXED,UNKNOWN,0.3,True,True,True,True,True,False,True,False,True,True,True,4,True,Raw/pre-clamp composer scores are not exposed.
solusdt_15m_up_004,ENGINE-TREND-15B,SOLUSDT,EXPECTED_UP,UNKNOWN,0.3,True,True,True,True,True,False,True,False,True,True,True,4,True,Raw/pre-clamp composer scores are not exposed.
solusdt_15m_recent_baseline_001,ENGINE-TREND-15B,SOLUSDT,RECENT_BASELINE,UNKNOWN,0.3,True,True,True,True,True,False,True,False,True,True,True,4,True,Raw/pre-clamp composer scores are not exposed.
ethusdt_15m_up_001,ENGINE-TREND-15B,ETHUSDT,EXPECTED_UP,UNKNOWN,0.3,True,True,True,True,True,False,True,False,True,True,True,4,True,Raw/pre-clamp composer scores are not exposed.
ethusdt_15m_down_001,ENGINE-TREND-15B,ETHUSDT,EXPECTED_DOWN,UNKNOWN,0.3,True,True,True,True,True,False,True,False,True,True,True,4,True,Raw/pre-clamp composer scores are not exposed.
ethusdt_15m_flat_001,ENGINE-TREND-15B,ETHUSDT,EXPECTED_FLAT,UNKNOWN,0.3,True,True,True,True,True,False,True,False,True,True,True,4,True,Raw/pre-clamp composer scores are not exposed.
ethusdt_15m_mixed_001,ENGINE-TREND-15B,ETHUSDT,EXPECTED_UNKNOWN_OR_MIXED,UNKNOWN,0.3,True,True,True,True,True,False,True,False,True,True,True,4,True,Raw/pre-clamp composer scores are not exposed.
ethusdt_15m_high_volatility_chop_001,ENGINE-TREND-15B,ETHUSDT,HIGH_VOLATILITY_CHOP,UNKNOWN,0.3,True,True,True,True,True,False,True,False,True,True,True,4,True,Raw/pre-clamp composer scores are not exposed.
ethusdt_15m_up_002,ENGINE-TREND-15B,ETHUSDT,EXPECTED_UP,UNKNOWN,0.3,True,True,True,True,True,False,True,False,True,True,True,4,True,Raw/pre-clamp composer scores are not exposed.
ethusdt_15m_down_002,ENGINE-TREND-15B,ETHUSDT,EXPECTED_DOWN,UNKNOWN,0.3,True,True,True,True,True,False,True,False,True,True,True,4,True,Raw/pre-clamp composer scores are not exposed.
ethusdt_15m_flat_002,ENGINE-TREND-15B,ETHUSDT,EXPECTED_FLAT,UNKNOWN,0.3,True,True,True,True,True,False,True,False,True,True,True,4,True,Raw/pre-clamp composer scores are not exposed.
ethusdt_15m_mixed_002,ENGINE-TREND-15B,ETHUSDT,EXPECTED_UNKNOWN_OR_MIXED,UNKNOWN,0.3,True,True,True,True,True,False,True,False,True,True,True,4,True,Raw/pre-clamp composer scores are not exposed.
ethusdt_15m_up_003,ENGINE-TREND-15B,ETHUSDT,EXPECTED_UP,UNKNOWN,0.3,True,True,True,True,True,False,True,False,True,True,True,4,True,Raw/pre-clamp composer scores are not exposed.
ethusdt_15m_down_003,ENGINE-TREND-15B,ETHUSDT,EXPECTED_DOWN,UNKNOWN,0.3,True,True,True,True,True,False,True,False,True,True,True,4,True,Raw/pre-clamp composer scores are not exposed.
ethusdt_15m_flat_003,ENGINE-TREND-15B,ETHUSDT,EXPECTED_FLAT,UNKNOWN,0.3,True,True,True,True,True,False,True,False,True,True,True,4,True,Raw/pre-clamp composer scores are not exposed.
ethusdt_15m_mixed_003,ENGINE-TREND-15B,ETHUSDT,EXPECTED_UNKNOWN_OR_MIXED,UNKNOWN,0.3,True,True,True,True,True,False,True,False,True,True,True,4,True,Raw/pre-clamp composer scores are not exposed.
ethusdt_15m_up_004,ENGINE-TREND-15B,ETHUSDT,EXPECTED_UP,UNKNOWN,0.3,True,True,True,True,True,False,True,False,True,True,True,4,True,Raw/pre-clamp composer scores are not exposed.
ethusdt_15m_recent_baseline_001,ENGINE-TREND-15B,ETHUSDT,RECENT_BASELINE,UNKNOWN,0.3,True,True,True,True,True,False,True,False,True,True,True,4,True,Raw/pre-clamp composer scores are not exposed.
