candidate_id,symbol,setup_type,split,stage,stage_trace,entry_mode,stop_mode,target_mode,entry,stop,target,rr,stop_atr,target_atr,entry_age,label,net_return_pct,failures,warnings
ET-HED-0166,SOLUSDT,SHORT_DOWN_CONTINUATION_RETEST,TRAIN_DESIGN,NO_TRADE,SETUP_READY|ENTRY_ARMED,break_confirmation_low,atr_0_15,nearest_support,,,,,,,,NO_TRADE,,VOLUME_BELOW_0_7,
ET-HED-0171,SOLUSDT,SHORT_DOWN_CONTINUATION_RETEST,OUT_OF_TIME_VALIDATION,NO_TRADE,SETUP_READY|ENTRY_ARMED,break_confirmation_low,atr_0_15,nearest_support,,,,,,,,NO_TRADE,,VOLUME_BELOW_0_7,
ET-HED-0174,SOLUSDT,SHORT_DOWN_CONTINUATION_RETEST,TRAIN_DESIGN,NO_TRADE,SETUP_READY|ENTRY_ARMED,break_confirmation_low,atr_0_15,nearest_support,,,,,,,,NO_TRADE,,VOLUME_BELOW_0_7,
ET-HED-0175,SOLUSDT,SHORT_DOWN_CONTINUATION_RETEST,TRAIN_DESIGN,NO_TRADE,SETUP_READY|ENTRY_ARMED,break_confirmation_low,atr_0_15,nearest_support,,,,,,,,NO_TRADE,,VOLUME_BELOW_0_7,
ET-HED-0176,SOLUSDT,SHORT_DOWN_CONTINUATION_RETEST,TRAIN_DESIGN,NO_TRADE,SETUP_READY|ENTRY_ARMED,break_confirmation_low,atr_0_15,nearest_support,,,,,,,,NO_TRADE,,VOLUME_BELOW_0_7,
ET-HED-0180,SOLUSDT,SHORT_DOWN_CONTINUATION_RETEST,TRAIN_DESIGN,NO_TRADE,SETUP_READY|ENTRY_ARMED,break_confirmation_low,atr_0_15,nearest_support,,,,,,,,NO_TRADE,,VOLUME_BELOW_0_7,
ET-HED-0182,SOLUSDT,SHORT_DOWN_CONTINUATION_RETEST,TRAIN_DESIGN,NO_TRADE,SETUP_READY|ENTRY_ARMED,break_confirmation_low,atr_0_15,nearest_support,,,,,,,,NO_TRADE,,VOLUME_BELOW_0_7,
ET-HED-0191,SOLUSDT,SHORT_DOWN_CONTINUATION_RETEST,TRAIN_DESIGN,NO_TRADE,SETUP_READY|ENTRY_ARMED,break_confirmation_low,atr_0_15,nearest_support,,,,,,,,NO_TRADE,,VOLUME_BELOW_0_7,
ET-HED-0204,SOLUSDT,SHORT_DOWN_CONTINUATION_RETEST,TRAIN_DESIGN,NO_TRADE,SETUP_READY|ENTRY_ARMED,break_confirmation_low,atr_0_15,nearest_support,,,,,,,,NO_TRADE,,VOLUME_BELOW_0_7,
ET-HED-0211,SOLUSDT,SHORT_DOWN_CONTINUATION_RETEST,OUT_OF_TIME_VALIDATION,NO_TRADE,SETUP_READY|ENTRY_ARMED,break_confirmation_low,atr_0_15,nearest_support,,,,,,,,NO_TRADE,,VOLUME_BELOW_0_7,
ET-HED-0223,SOLUSDT,SHORT_DOWN_CONTINUATION_RETEST,TRAIN_DESIGN,NO_TRADE,SETUP_READY|ENTRY_ARMED,break_confirmation_low,atr_0_15,nearest_support,,,,,,,,NO_TRADE,,VOLUME_BELOW_0_7,
