file,line,symbol,literal,semantic_name,classification,yaml_file,yaml_path,schema_field,consumer,action
../traders-client/src/traders_client/funnel_export.py,24,MAX_PAGE_SIZE,2000,MAX_PAGE_SIZE,UNKNOWN_REQUIRES_TRACE,,,,../traders-client/src/traders_client/funnel_export.py:24:assignment,trace behavior authority; no direct YAML reference on this expression
../traders-client/src/traders_client/funnel_export.py,25,MAX_PAGE_ATTEMPTS,3,MAX_PAGE_ATTEMPTS,UNKNOWN_REQUIRES_TRACE,,,,../traders-client/src/traders_client/funnel_export.py:25:assignment,trace behavior authority; no direct YAML reference on this expression
../traders-client/src/traders_client/funnel_export.py,26,PAGE_READ_TIMEOUT_SECONDS,10.0,PAGE_READ_TIMEOUT_SECONDS,UNKNOWN_REQUIRES_TRACE,,,,../traders-client/src/traders_client/funnel_export.py:26:assignment,trace behavior authority; no direct YAML reference on this expression
../traders-client/src/traders_client/funnel_export.py,126,retry_attempt,0,retry_attempt,UNKNOWN_REQUIRES_TRACE,,,,../traders-client/src/traders_client/funnel_export.py:126:assignment,trace behavior authority; no direct YAML reference on this expression
../traders-client/src/traders_client/i18n/distribution.py,18,MAX_TRANSLATIONS,2000,MAX_TRANSLATIONS,UNKNOWN_REQUIRES_TRACE,,,,../traders-client/src/traders_client/i18n/distribution.py:18:assignment,trace behavior authority; no direct YAML reference on this expression
../traders-client/src/traders_client/models/paper.py,358,max_new_commands,1,max_new_commands,UNKNOWN_REQUIRES_TRACE,,,,../traders-client/src/traders_client/models/paper.py:358:assignment,trace behavior authority; no direct YAML reference on this expression
../traders-client/src/traders_client/models/paper.py,359,max_open_positions,1,max_open_positions,UNKNOWN_REQUIRES_TRACE,,,,../traders-client/src/traders_client/models/paper.py:359:assignment,trace behavior authority; no direct YAML reference on this expression
../traders-client/src/traders_client/models/paper.py,383,max_new_commands,1,max_new_commands,UNKNOWN_REQUIRES_TRACE,,,,../traders-client/src/traders_client/models/paper.py:383:assignment,trace behavior authority; no direct YAML reference on this expression
../traders-client/src/traders_client/models/paper.py,384,max_open_positions,1,max_open_positions,UNKNOWN_REQUIRES_TRACE,,,,../traders-client/src/traders_client/models/paper.py:384:assignment,trace behavior authority; no direct YAML reference on this expression
../traders-client/src/traders_client/providers/paper.py,21,PAPER_DEFAULT_LIMIT,50,PAPER_DEFAULT_LIMIT,UNKNOWN_REQUIRES_TRACE,,,,../traders-client/src/traders_client/providers/paper.py:21:assignment,trace behavior authority; no direct YAML reference on this expression
../traders-client/src/traders_client/providers/paper.py,22,PAPER_MAX_LIMIT,100,PAPER_MAX_LIMIT,UNKNOWN_REQUIRES_TRACE,,,,../traders-client/src/traders_client/providers/paper.py:22:assignment,trace behavior authority; no direct YAML reference on this expression
../traders-client/scripts/gui_auto_refresh_smoke.py,23,timeout,4.0,timeout,UNKNOWN_REQUIRES_TRACE,,,,../traders-client/scripts/gui_auto_refresh_smoke.py:23:function_default,trace behavior authority; no direct YAML reference on this expression
../traders-client/scripts/gui_smoke.py,26,timeout,3.0,timeout,UNKNOWN_REQUIRES_TRACE,,,,../traders-client/scripts/gui_smoke.py:26:function_default,trace behavior authority; no direct YAML reference on this expression
../traders-client/scripts/gui_tk_grab_language_smoke.py,24,timeout,15.0,timeout,UNKNOWN_REQUIRES_TRACE,,,,../traders-client/scripts/gui_tk_grab_language_smoke.py:24:function_default,trace behavior authority; no direct YAML reference on this expression
