candidate_id,symbol,setup_type,direction,entry_time,old_score,score_v2,filter_pass,fail_reasons,old_outcome,net_return_pct,split,short_reason
ET-HED-0433,BTCUSDT,SHORT_DOWN_CONTINUATION_RETEST,SHORT,2025-08-24T18:30:00Z,75.0009,71.7,FAIL,CHOPPY_SIDEWAYS_CONTEXT,SL_BEFORE_TP,-0.4039207926174986,TRAIN_DESIGN,CHOPPY_SIDEWAYS_CONTEXT
ET-HED-0434,SOLUSDT,LONG_UP_CONTINUATION_RETEST,LONG,2025-08-28T21:45:00Z,74.8538,41.9,FAIL,TOO_TIGHT_STOP|WEAK_CONFIRMATION_VOLUME|CHOPPY_SIDEWAYS_CONTEXT|SCORE_V2_BELOW_PROVISIONAL_FLOOR,TP_BEFORE_SL,0.39975914949665303,TRAIN_DESIGN,TOO_TIGHT_STOP; WEAK_CONFIRMATION_VOLUME; CHOPPY_SIDEWAYS_CONTEXT
ET-HED-0435,BTCUSDT,LONG_UP_CONTINUATION_RETEST,LONG,2025-11-21T23:15:00Z,74.742,50.35,FAIL,TOO_TIGHT_STOP|CHOPPY_SIDEWAYS_CONTEXT|SCORE_V2_BELOW_PROVISIONAL_FLOOR,TP_BEFORE_SL,0.909324835605194,OUT_OF_TIME_VALIDATION,TOO_TIGHT_STOP; CHOPPY_SIDEWAYS_CONTEXT
ET-HED-0436,SOLUSDT,LONG_UP_CONTINUATION_RETEST,LONG,2025-08-20T10:45:00Z,74.6761,23.05,FAIL,TOO_TIGHT_STOP|WEAK_CONFIRMATION_VOLUME|ENTRY_AFTER_EXHAUSTION|SCORE_V2_BELOW_PROVISIONAL_FLOOR,SL_BEFORE_TP,-0.4457059037941071,TRAIN_DESIGN,TOO_TIGHT_STOP; LATE_ENTRY_AFTER_EXHAUSTION; TREND_TOO_OLD
ET-HED-0437,SOLUSDT,SHORT_DOWN_CONTINUATION_RETEST,SHORT,2025-08-05T17:45:00Z,74.6424,50.85,FAIL,TOO_TIGHT_STOP|WEAK_CONFIRMATION_VOLUME|SCORE_V2_BELOW_PROVISIONAL_FLOOR,SL_BEFORE_TP,-0.7003785061532939,TRAIN_DESIGN,TOO_TIGHT_STOP; WEAK_CONFIRMATION_VOLUME
ET-HED-0438,SOLUSDT,LONG_UP_CONTINUATION_RETEST,LONG,2025-09-12T19:30:00Z,74.4609,58.5,FAIL,TOO_TIGHT_STOP|WEAK_CONFIRMATION_VOLUME,SL_BEFORE_TP,-0.5645588727469463,TRAIN_DESIGN,TOO_TIGHT_STOP; WEAK_CONFIRMATION_VOLUME
ET-HED-0439,SOLUSDT,LONG_UP_CONTINUATION_RETEST,LONG,2025-07-13T12:00:00Z,74.4164,57.25,FAIL,CHOPPY_SIDEWAYS_CONTEXT,TP_BEFORE_SL,0.1672565716401312,TRAIN_DESIGN,WEAK_CONFIRMATION_VOLUME; CHOPPY_SIDEWAYS_CONTEXT
ET-HED-0440,SOLUSDT,LONG_UP_CONTINUATION_RETEST,LONG,2025-08-22T07:00:00Z,74.3657,65.3,FAIL,WEAK_CONFIRMATION_VOLUME,TP_BEFORE_SL,0.40502022521045533,TRAIN_DESIGN,WEAK_CONFIRMATION_VOLUME
ET-HED-0441,SOLUSDT,LONG_UP_CONTINUATION_RETEST,LONG,2025-07-20T18:30:00Z,74.1674,43.95,FAIL,TOO_TIGHT_STOP|WEAK_CONFIRMATION_VOLUME|SCORE_V2_BELOW_PROVISIONAL_FLOOR,TP_BEFORE_SL,1.0926697633266957,TRAIN_DESIGN,TOO_TIGHT_STOP; WEAK_CONFIRMATION_VOLUME
ET-HED-0442,ETHUSDT,LONG_UP_CONTINUATION_RETEST,LONG,2025-09-03T19:00:00Z,74.1614,73.25,FAIL,WEAK_CONFIRMATION_VOLUME,SL_BEFORE_TP,-0.5520433316402187,TRAIN_DESIGN,WEAK_CONFIRMATION_VOLUME
ET-HED-0443,BTCUSDT,SHORT_DOWN_CONTINUATION_RETEST,SHORT,2025-09-23T22:30:00Z,73.742,45.15,FAIL,WEAK_CONFIRMATION_VOLUME|ENTRY_AFTER_EXHAUSTION|SCORE_V2_BELOW_PROVISIONAL_FLOOR,SL_BEFORE_TP,-0.4569073635097676,TRAIN_DESIGN,LATE_ENTRY_AFTER_EXHAUSTION; TREND_TOO_OLD; WEAK_CONFIRMATION_VOLUME
ET-HED-0444,BTCUSDT,SHORT_DOWN_CONTINUATION_RETEST,SHORT,2025-08-26T15:15:00Z,73.5824,79.0,PASS,,SL_BEFORE_TP,-0.5788857755160715,TRAIN_DESIGN,causal geometry passed without v2 penalty
ET-HED-0445,BTCUSDT,SHORT_DOWN_CONTINUATION_RETEST,SHORT,2025-09-13T07:45:00Z,72.9732,29.65,FAIL,TOO_TIGHT_STOP|WEAK_CONFIRMATION_VOLUME|ENTRY_AFTER_EXHAUSTION|SCORE_V2_BELOW_PROVISIONAL_FLOOR,SL_BEFORE_TP,-0.2972768309598358,TRAIN_DESIGN,TOO_TIGHT_STOP; LATE_ENTRY_AFTER_EXHAUSTION; TREND_TOO_OLD
ET-HED-0446,ETHUSDT,SHORT_DOWN_CONTINUATION_RETEST,SHORT,2025-09-16T01:45:00Z,72.5417,55.3,FAIL,WEAK_CONFIRMATION_VOLUME|CHOPPY_SIDEWAYS_CONTEXT,TP_BEFORE_SL,0.30421287911583794,TRAIN_DESIGN,WEAK_CONFIRMATION_VOLUME; CHOPPY_SIDEWAYS_CONTEXT
ET-HED-0447,SOLUSDT,SHORT_DOWN_CONTINUATION_RETEST,SHORT,2025-09-05T23:30:00Z,71.8969,72.95,FAIL,WEAK_CONFIRMATION_VOLUME,SL_BEFORE_TP,-0.5947135991368759,TRAIN_DESIGN,WEAK_CONFIRMATION_VOLUME
ET-HED-0448,SOLUSDT,LONG_UP_CONTINUATION_RETEST,LONG,2025-11-13T08:15:00Z,71.6552,67.25,FAIL,WEAK_CONFIRMATION_VOLUME,SL_BEFORE_TP,-0.8641397803186042,OUT_OF_TIME_VALIDATION,WEAK_CONFIRMATION_VOLUME
ET-HED-0449,ETHUSDT,LONG_UP_CONTINUATION_RETEST,LONG,2025-11-30T21:00:00Z,71.3237,67.4,FAIL,WEAK_CONFIRMATION_VOLUME,SL_BEFORE_TP,-0.4652831842162559,OUT_OF_TIME_VALIDATION,WEAK_CONFIRMATION_VOLUME
