candidate_id,family,symbol,direction,entry_time,label,net_return_pct,net_r,bars_to_outcome
ET27-00234,MOMENTUM_BREAKDOWN_PULLBACK,BTCUSDT,SHORT,2025-02-17T15:45:00Z,SL_BEFORE_TP,-0.8129397336818628,-1.4188922252916485,20
ET27-00235,SHORT_CONTINUATION_PRACTICAL_TARGET,ETHUSDT,SHORT,2025-02-18T04:15:00Z,SL_BEFORE_TP,-1.2857184864768774,-1.229507274762429,40
ET27-00236,MOMENTUM_BREAKDOWN_PULLBACK,ETHUSDT,SHORT,2025-02-18T05:45:00Z,TP_BEFORE_SL,0.3536893759373604,0.8936222971286741,1
ET27-00237,MOMENTUM_BREAKDOWN_PULLBACK,SOLUSDT,SHORT,2025-02-18T15:15:00Z,TP_BEFORE_SL,1.6937414344226593,1.3138324009654925,8
ET27-00238,SHORT_CONTINUATION_PRACTICAL_TARGET,SOLUSDT,SHORT,2025-02-18T16:30:00Z,SL_BEFORE_TP,-2.3275590218798206,-1.114966809313915,19
ET27-00239,MOMENTUM_BREAKDOWN_PULLBACK,BTCUSDT,SHORT,2025-02-18T16:45:00Z,TP_BEFORE_SL,0.2569414418479025,0.7755685686801902,4
ET27-00240,SHORT_CONTINUATION_PRACTICAL_TARGET,BTCUSDT,SHORT,2025-02-18T17:15:00Z,SL_BEFORE_TP,-1.4419474006992472,-1.199675959081385,26
ET27-00241,RANGE_BOUNDARY_REJECTION,BTCUSDT,SHORT,2025-02-19T20:15:00Z,SL_BEFORE_TP,-0.49148348871233793,-1.9543370072876893,8
ET27-00242,SHORT_CONTINUATION_PRACTICAL_TARGET,SOLUSDT,SHORT,2025-02-19T20:45:00Z,SL_BEFORE_TP,-1.8135041535320613,-1.15252581282437,11
ET27-00243,TRAP_REVERSAL,ETHUSDT,SHORT,2025-02-20T00:45:00Z,TP_BEFORE_SL,0.09024917552216266,0.4383791441299185,2
ET27-00244,TRAP_REVERSAL,SOLUSDT,SHORT,2025-02-20T02:30:00Z,SL_BEFORE_TP,-0.7057729653605752,-1.515272499369313,1
ET27-00245,RANGE_BOUNDARY_REJECTION,SOLUSDT,LONG,2025-02-21T02:45:00Z,TP_BEFORE_SL,0.40468674281757144,1.4906913647784057,2
ET27-00246,TRAP_REVERSAL,SOLUSDT,LONG,2025-02-21T02:45:00Z,TP_BEFORE_SL,0.40468674281757144,1.4906913647784057,2
ET27-00247,SHORT_CONTINUATION_PRACTICAL_TARGET,BTCUSDT,SHORT,2025-02-21T17:30:00Z,NEITHER_EXPIRED,0.23210972934998092,0.13459890686097645,96
ET27-00248,SHORT_CONTINUATION_PRACTICAL_TARGET,ETHUSDT,SHORT,2025-02-21T17:30:00Z,SL_BEFORE_TP,-4.180416934265993,-1.0609072603238892,89
ET27-00249,MOMENTUM_BREAKDOWN_PULLBACK,BTCUSDT,SHORT,2025-02-21T17:45:00Z,TP_BEFORE_SL,0.1915337308718721,0.6657662559247571,4
ET27-00250,RANGE_BOUNDARY_REJECTION,BTCUSDT,SHORT,2025-02-22T11:45:00Z,SL_BEFORE_TP,-0.29048149272186413,-5.7542175767725094,1
ET27-00251,TRAP_REVERSAL,BTCUSDT,SHORT,2025-02-22T11:45:00Z,SL_BEFORE_TP,-0.29048149272186413,-5.7542175767725094,1
ET27-00252,RANGE_BOUNDARY_REJECTION,SOLUSDT,LONG,2025-02-22T17:15:00Z,TP_BEFORE_SL,0.11947334988739522,0.35141096243250325,3
ET27-00253,TRAP_REVERSAL,SOLUSDT,LONG,2025-02-22T17:15:00Z,TP_BEFORE_SL,0.11947334988739522,0.35141096243250325,3
ET27-00254,SHORT_CONTINUATION_PRACTICAL_TARGET,SOLUSDT,SHORT,2025-02-23T01:15:00Z,SL_BEFORE_TP,-0.9760906006198437,-1.326046820592332,25
ET27-00255,SHORT_CONTINUATION_PRACTICAL_TARGET,BTCUSDT,SHORT,2025-02-23T10:30:00Z,TP_BEFORE_SL,0.2731974414561288,1.0646874648516087,17
ET27-00256,SHORT_CONTINUATION_PRACTICAL_TARGET,SOLUSDT,SHORT,2025-02-23T11:30:00Z,TP_BEFORE_SL,0.9856216799487842,1.2062715143754366,16
ET27-00257,MOMENTUM_BREAKDOWN_PULLBACK,SOLUSDT,SHORT,2025-02-23T11:45:00Z,TP_BEFORE_SL,0.3107591641071863,0.8463567681464025,2
ET27-00258,MOMENTUM_BREAKDOWN_PULLBACK,SOLUSDT,SHORT,2025-02-23T15:45:00Z,SL_BEFORE_TP,-0.5908037641792082,-1.68414317207097,1
ET27-00259,SHORT_CONTINUATION_PRACTICAL_TARGET,BTCUSDT,SHORT,2025-02-23T17:15:00Z,SL_BEFORE_TP,-0.6372341594276647,-1.6041776476267604,2
ET27-00260,MOMENTUM_BREAKDOWN_PULLBACK,SOLUSDT,SHORT,2025-02-24T01:00:00Z,TP_BEFORE_SL,1.282347782181468,1.2635231553435549,7
ET27-00261,SHORT_CONTINUATION_PRACTICAL_TARGET,ETHUSDT,SHORT,2025-02-24T03:00:00Z,TP_BEFORE_SL,2.344712022005247,1.8142926577841307,21
ET27-00262,MOMENTUM_BREAKDOWN_PULLBACK,ETHUSDT,SHORT,2025-02-24T03:15:00Z,TP_BEFORE_SL,1.2103959473980472,1.2517919154105293,5
ET27-00263,SHORT_CONTINUATION_PRACTICAL_TARGET,SOLUSDT,SHORT,2025-02-24T10:00:00Z,TP_BEFORE_SL,2.6461495424219805,1.3752663385217785,20
ET27-00264,SHORT_CONTINUATION_PRACTICAL_TARGET,ETHUSDT,SHORT,2025-02-24T10:15:00Z,TP_BEFORE_SL,2.5775319254934743,1.8296381327015734,47
ET27-00265,MOMENTUM_BREAKDOWN_PULLBACK,BTCUSDT,SHORT,2025-02-24T14:45:00Z,TP_BEFORE_SL,0.7905050159892233,1.1506567222728046,20
ET27-00266,SHORT_CONTINUATION_PRACTICAL_TARGET,BTCUSDT,SHORT,2025-02-24T15:15:00Z,TP_BEFORE_SL,2.945921590267221,1.849337158370009,35
ET27-00267,MOMENTUM_BREAKDOWN_PULLBACK,ETHUSDT,SHORT,2025-02-24T15:30:00Z,SL_BEFORE_TP,-0.8434273692259782,-1.3977280651155253,2
ET27-00268,SHORT_CONTINUATION_PRACTICAL_TARGET,BTCUSDT,SHORT,2025-02-24T22:00:00Z,TP_BEFORE_SL,2.8689625933981695,1.8456076631416305,36
ET27-00269,MOMENTUM_BREAKDOWN_PULLBACK,BTCUSDT,SHORT,2025-02-24T22:45:00Z,TP_BEFORE_SL,1.8107829481320785,1.3244572882138015,33
ET27-00270,MOMENTUM_BREAKDOWN_PULLBACK,ETHUSDT,SHORT,2025-02-24T22:45:00Z,TP_BEFORE_SL,5.171532941064287,1.4334754118803907,34
ET27-00271,SHORT_CONTINUATION_PRACTICAL_TARGET,ETHUSDT,SHORT,2025-02-24T22:45:00Z,NEITHER_EXPIRED,-0.3496403795550594,-0.05723710082890217,96
ET27-00272,SHORT_CONTINUATION_PRACTICAL_TARGET,SOLUSDT,SHORT,2025-02-24T22:45:00Z,NEITHER_EXPIRED,-3.562401254812489,-0.39839965418244955,96
ET27-00273,SHORT_CONTINUATION_PRACTICAL_TARGET,BTCUSDT,SHORT,2025-02-25T06:15:00Z,TP_BEFORE_SL,0.755775477639165,1.1384727199212645,3
ET27-00274,MOMENTUM_BREAKDOWN_PULLBACK,ETHUSDT,SHORT,2025-02-25T07:15:00Z,SL_BEFORE_TP,-3.640894466876186,-1.0705696699317009,19
ET27-00275,MOMENTUM_BREAKDOWN_PULLBACK,SOLUSDT,SHORT,2025-02-25T07:15:00Z,SL_BEFORE_TP,-2.53454790540229,-1.1045957678351117,3
ET27-00276,SHORT_CONTINUATION_PRACTICAL_TARGET,BTCUSDT,SHORT,2025-02-25T10:00:00Z,NEITHER_EXPIRED,-1.7325357825667105,-0.7125659827566201,96
ET27-00277,MOMENTUM_BREAKDOWN_PULLBACK,BTCUSDT,SHORT,2025-02-25T14:45:00Z,SL_BEFORE_TP,-1.4359571409658425,-1.2006760876114495,22
ET27-00278,TRAP_REVERSAL,SOLUSDT,SHORT,2025-02-26T03:15:00Z,TP_BEFORE_SL,0.7126279391424605,1.3217645639858484,2
ET27-00279,SHORT_CONTINUATION_PRACTICAL_TARGET,SOLUSDT,SHORT,2025-02-26T07:30:00Z,TP_BEFORE_SL,3.391333808055295,1.8678171643336043,26
ET27-00280,MOMENTUM_BREAKDOWN_PULLBACK,SOLUSDT,SHORT,2025-02-26T08:00:00Z,SL_BEFORE_TP,-1.351384166497825,-1.2159469310745032,5
ET27-00281,SHORT_CONTINUATION_PRACTICAL_TARGET,ETHUSDT,SHORT,2025-02-26T14:00:00Z,SL_BEFORE_TP,-2.690058295710534,-1.097956852871698,4
ET27-00282,SHORT_CONTINUATION_PRACTICAL_TARGET,SOLUSDT,SHORT,2025-02-26T14:15:00Z,SL_BEFORE_TP,-2.1628511233041072,-1.1248146552228127,1
ET27-00283,SHORT_CONTINUATION_PRACTICAL_TARGET,SOLUSDT,SHORT,2025-02-26T17:45:00Z,SL_BEFORE_TP,-4.101815203514328,-1.062146940584209,41
ET27-00284,MOMENTUM_BREAKDOWN_PULLBACK,BTCUSDT,SHORT,2025-02-26T18:30:00Z,TP_BEFORE_SL,1.4498713290363423,1.2869660288246438,6
ET27-00285,SHORT_CONTINUATION_PRACTICAL_TARGET,BTCUSDT,SHORT,2025-02-26T20:00:00Z,SL_BEFORE_TP,-2.6753465684554207,-1.098548602120402,8
ET27-00286,TRAP_REVERSAL,SOLUSDT,SHORT,2025-02-27T02:15:00Z,TP_BEFORE_SL,0.7470092169242945,0.8373182554767025,1
ET27-00287,SHORT_CONTINUATION_PRACTICAL_TARGET,ETHUSDT,SHORT,2025-02-27T04:00:00Z,SL_BEFORE_TP,-1.596610977352883,-1.176911438877124,9
ET27-00288,MOMENTUM_BREAKDOWN_PULLBACK,ETHUSDT,SHORT,2025-02-27T14:45:00Z,SL_BEFORE_TP,-1.4887109013325397,-1.1921982099650834,6
ET27-00289,MOMENTUM_BREAKDOWN_PULLBACK,BTCUSDT,SHORT,2025-02-28T01:30:00Z,TP_BEFORE_SL,1.1827345417702664,1.246966149038553,2
ET27-00290,MOMENTUM_BREAKDOWN_PULLBACK,ETHUSDT,SHORT,2025-02-28T01:30:00Z,TP_BEFORE_SL,2.843001184231145,1.383230664379463,4
ET27-00291,MOMENTUM_BREAKDOWN_PULLBACK,SOLUSDT,SHORT,2025-02-28T01:30:00Z,TP_BEFORE_SL,1.9166439433598332,1.3330739753734424,4
ET27-00292,SHORT_CONTINUATION_PRACTICAL_TARGET,BTCUSDT,SHORT,2025-02-28T08:30:00Z,SL_BEFORE_TP,-2.61331642981136,-1.1011243157403483,3
ET27-00293,SHORT_CONTINUATION_PRACTICAL_TARGET,ETHUSDT,SHORT,2025-03-01T13:00:00Z,SL_BEFORE_TP,-1.207007293356066,-1.2481884073149678,14
ET27-00294,MOMENTUM_BREAKDOWN_PULLBACK,ETHUSDT,SHORT,2025-03-01T13:15:00Z,SL_BEFORE_TP,-1.0884958229050943,-1.2828534843911004,7
ET27-00295,TRAP_REVERSAL,SOLUSDT,LONG,2025-03-02T12:45:00Z,SL_BEFORE_TP,-0.44089806121880215,-2.194635719946601,1
ET27-00296,SHORT_CONTINUATION_PRACTICAL_TARGET,SOLUSDT,SHORT,2025-03-02T13:15:00Z,SL_BEFORE_TP,-1.5423419060851533,-1.1842834042877737,8
ET27-00297,SHORT_CONTINUATION_PRACTICAL_TARGET,BTCUSDT,SHORT,2025-03-02T14:00:00Z,SL_BEFORE_TP,-0.7887622582181452,-1.4373478613111812,5
ET27-00298,MOMENTUM_BREAKDOWN_PULLBACK,SOLUSDT,SHORT,2025-03-02T14:00:00Z,SL_BEFORE_TP,-0.9298012292447697,-1.3479263153282062,5
ET27-00299,MOMENTUM_BREAKDOWN_PULLBACK,SOLUSDT,SHORT,2025-03-03T18:15:00Z,TP_BEFORE_SL,4.658856758969371,1.4265134667714314,5
ET27-00300,SHORT_CONTINUATION_PRACTICAL_TARGET,BTCUSDT,SHORT,2025-03-04T01:30:00Z,SL_BEFORE_TP,-4.21097144334597,-1.0604386114138797,69
ET27-00301,SHORT_CONTINUATION_PRACTICAL_TARGET,BTCUSDT,SHORT,2025-03-04T07:45:00Z,SL_BEFORE_TP,-1.6848894719568037,-1.1661026705904152,27
ET27-00302,SHORT_CONTINUATION_PRACTICAL_TARGET,BTCUSDT,SHORT,2025-03-04T13:15:00Z,SL_BEFORE_TP,-2.0079205391972605,-1.1357527075899996,5
ET27-00303,MOMENTUM_BREAKDOWN_PULLBACK,SOLUSDT,SHORT,2025-03-04T13:15:00Z,SL_BEFORE_TP,-1.7512349583434415,-1.1588105136629971,1
ET27-00304,SHORT_CONTINUATION_PRACTICAL_TARGET,ETHUSDT,SHORT,2025-03-04T16:15:00Z,SL_BEFORE_TP,-3.439863825304709,-1.0750031917302436,4
ET27-00305,SHORT_CONTINUATION_PRACTICAL_TARGET,BTCUSDT,SHORT,2025-03-06T13:45:00Z,SL_BEFORE_TP,-1.8179875290859775,-1.1520924567376118,5
ET27-00306,SHORT_CONTINUATION_PRACTICAL_TARGET,ETHUSDT,SHORT,2025-03-07T00:15:00Z,SL_BEFORE_TP,-5.024334093102947,-1.0501637208709946,58
ET27-00307,MOMENTUM_BREAKDOWN_PULLBACK,BTCUSDT,SHORT,2025-03-07T00:30:00Z,SL_BEFORE_TP,-1.9264789354378713,-1.1423083294768146,3
ET27-00308,MOMENTUM_BREAKDOWN_PULLBACK,SOLUSDT,SHORT,2025-03-07T00:30:00Z,SL_BEFORE_TP,-1.8395124624744248,-1.1500457205745824,2
ET27-00309,SHORT_CONTINUATION_PRACTICAL_TARGET,SOLUSDT,SHORT,2025-03-07T00:30:00Z,SL_BEFORE_TP,-7.171283497876098,-1.0346256216577407,35
ET27-00310,MOMENTUM_BREAKDOWN_PULLBACK,BTCUSDT,SHORT,2025-03-07T21:00:00Z,NEITHER_EXPIRED,-0.25434973797540533,-0.19234772407982362,96
ET27-00311,SHORT_CONTINUATION_PRACTICAL_TARGET,SOLUSDT,SHORT,2025-03-07T23:00:00Z,NEITHER_EXPIRED,0.028096514745311607,0.0068172960556771925,96
ET27-00312,MOMENTUM_BREAKDOWN_PULLBACK,BTCUSDT,SHORT,2025-03-08T08:00:00Z,SL_BEFORE_TP,-0.5999258422690581,-1.6668040240928046,5
ET27-00313,MOMENTUM_BREAKDOWN_PULLBACK,ETHUSDT,SHORT,2025-03-08T08:45:00Z,SL_BEFORE_TP,-0.6349920113011633,-1.6076072252940095,2
ET27-00314,SHORT_CONTINUATION_PRACTICAL_TARGET,SOLUSDT,SHORT,2025-03-08T08:45:00Z,TP_BEFORE_SL,1.3726806924448949,1.276769200693893,30
ET27-00315,SHORT_CONTINUATION_PRACTICAL_TARGET,BTCUSDT,SHORT,2025-03-08T09:45:00Z,SL_BEFORE_TP,-0.8624929617632533,-1.3855465278196621,14
ET27-00316,MOMENTUM_BREAKDOWN_PULLBACK,BTCUSDT,SHORT,2025-03-08T17:00:00Z,SL_BEFORE_TP,-0.808624202689385,-1.4220713766049484,9
ET27-00317,TRAP_REVERSAL,SOLUSDT,LONG,2025-03-09T10:00:00Z,SL_BEFORE_TP,-0.5250859614735126,-1.841851344624342,1
ET27-00318,SHORT_CONTINUATION_PRACTICAL_TARGET,BTCUSDT,SHORT,2025-03-09T10:15:00Z,TP_BEFORE_SL,1.2867913421916035,1.685615193945891,14
ET27-00319,MOMENTUM_BREAKDOWN_PULLBACK,ETHUSDT,SHORT,2025-03-09T10:15:00Z,TP_BEFORE_SL,1.2910596747981578,1.264868733775876,14
