candidate_id,family,symbol,direction,confirmation_time,entry_price,stop_price,target_price,target_kind,stop_distance_atr,target_distance_atr,planned_rr,volume_ratio_20,evidence,label,net_return_pct,net_r
ET27-00291,MOMENTUM_BREAKDOWN_PULLBACK,SOLUSDT,SHORT,2025-02-28T01:30:00Z,132.29,134.19201618178047,129.43697572732927,FIXED_1_5R,1.4087601578150182,2.1131402367225274,1.5,7.822326397899072,"{""breakdown_time"": ""2025-02-28T01:15:00Z"", ""broken_support"": 136.12, ""pullback_bars"": 1, ""breakdown_volume_ratio"": 1.9622840395332097}",TP_BEFORE_SL,1.9166439433598332,1.3330739753734424
ET27-00292,SHORT_CONTINUATION_PRACTICAL_TARGET,BTCUSDT,SHORT,2025-02-28T08:30:00Z,78487.01,80349.75510359768,75692.89234460346,FIXED_1_5R,2.516029576618529,3.7740443649278035,1.500000000000004,1.0621268970958098,"{""pivot_highs"": [[5544, 80440.44], [5549, 80275.72]], ""pivot_lows"": [[5543, 79152.0], [5547, 79034.97]], ""broken_support"": 79034.97}",SL_BEFORE_TP,-2.61331642981136,-1.1011243157403483
ET27-00293,SHORT_CONTINUATION_PRACTICAL_TARGET,ETHUSDT,SHORT,2025-03-01T13:00:00Z,2167.9,2188.8637511126663,2125.9724977746678,FIXED_2R_STRONG_MOMENTUM,1.8013947213018402,3.6027894426036804,2.0,1.3518353686966686,"{""pivot_highs"": [[5653, 2239.49], [5665, 2187.7]], ""pivot_lows"": [[5661, 2171.41], [5664, 2171.4]], ""broken_support"": 2171.4}",SL_BEFORE_TP,-1.207007293356066,-1.2481884073149678
ET27-00294,MOMENTUM_BREAKDOWN_PULLBACK,ETHUSDT,SHORT,2025-03-01T13:15:00Z,2151.26,2169.5133512398284,2123.879973140258,FIXED_1_5R,1.447385174791103,2.171077762186673,1.5000000000000124,2.6592817687324914,"{""breakdown_time"": ""2025-03-01T13:00:00Z"", ""broken_support"": 2171.4, ""pullback_bars"": 1, ""breakdown_volume_ratio"": 1.3518353686966686}",SL_BEFORE_TP,-1.0884958229050943,-1.2828534843911004
ET27-00295,TRAP_REVERSAL,SOLUSDT,LONG,2025-03-02T12:45:00Z,142.75,142.46321801761016,143.5675,FALSE_BREAKDOWN_TO_MIDLINE,0.3683556014220312,1.0500335538972725,2.850597492867311,1.9790107307922795,"{""lower"": 142.72, ""upper"": 144.41500000000002, ""midline"": 143.5675, ""width_atr"": 2.177133790649431, ""high_touches"": 3, ""low_touches"": 2, ""adx14"": 12.42049031824707}",SL_BEFORE_TP,-0.44089806121880215,-2.194635719946601
ET27-00296,SHORT_CONTINUATION_PRACTICAL_TARGET,SOLUSDT,SHORT,2025-03-02T13:15:00Z,141.86,143.7075022279724,138.16499554405522,FIXED_2R_STRONG_MOMENTUM,2.383805312835897,4.767610625671794,2.0,1.583370069569277,"{""pivot_highs"": [[5758, 144.22], [5763, 143.34]], ""pivot_lows"": [[5757, 143.26], [5761, 142.18]], ""broken_support"": 142.18}",SL_BEFORE_TP,-1.5423419060851533,-1.1842834042877737
ET27-00297,SHORT_CONTINUATION_PRACTICAL_TARGET,BTCUSDT,SHORT,2025-03-02T14:00:00Z,85575.99,86045.59873521654,84871.5768971752,FIXED_1_5R,2.2353022701094885,3.3529534051642673,1.5000000000000155,1.948028110698706,"{""pivot_highs"": [[5758, 86220.22], [5763, 86024.59]], ""pivot_lows"": [[5753, 85792.45], [5761, 85750.0]], ""broken_support"": 85750.0}",SL_BEFORE_TP,-0.7887622582181452,-1.4373478613111812
ET27-00298,MOMENTUM_BREAKDOWN_PULLBACK,SOLUSDT,SHORT,2025-03-02T14:00:00Z,141.04,142.01289565372682,139.58065651940976,FIXED_1_5R,1.2567593182616985,1.885138977392548,1.5,1.3774982009898067,"{""breakdown_time"": ""2025-03-02T13:15:00Z"", ""broken_support"": 142.18, ""pullback_bars"": 3, ""breakdown_volume_ratio"": 1.583370069569277}",SL_BEFORE_TP,-0.9298012292447697,-1.3479263153282062
ET27-00299,MOMENTUM_BREAKDOWN_PULLBACK,SOLUSDT,SHORT,2025-03-03T18:15:00Z,152.01,156.97450143953955,144.56324784069065,FIXED_1_5R,1.8942367119748194,2.8413550679622293,1.5,1.7100413689646905,"{""breakdown_time"": ""2025-03-03T17:45:00Z"", ""broken_support"": 156.75, ""pullback_bars"": 2, ""breakdown_volume_ratio"": 1.9123026676531463}",TP_BEFORE_SL,4.658856758969371,1.4265134667714314
ET27-00300,SHORT_CONTINUATION_PRACTICAL_TARGET,BTCUSDT,SHORT,2025-03-04T01:30:00Z,83571.05,86889.63253040439,76933.88493919124,FIXED_2R_STRONG_MOMENTUM,4.064273959385143,8.128547918770286,2.0,4.5850020447548125,"{""pivot_highs"": [[5899, 87038.46], [5905, 86807.98]], ""pivot_lows"": [[5900, 86000.0], [5904, 85880.0]], ""broken_support"": 85880.0}",SL_BEFORE_TP,-4.21097144334597,-1.0604386114138797
ET27-00301,SHORT_CONTINUATION_PRACTICAL_TARGET,BTCUSDT,SHORT,2025-03-04T07:45:00Z,83186.4,84388.35153569987,81383.47269645019,FIXED_1_5R,2.0580820714661323,3.087123107199186,1.499999999999994,1.5136659377471111,"{""pivot_highs"": [[5924, 84581.6], [5928, 84411.76]], ""pivot_lows"": [[5919, 83602.81], [5923, 83315.9]], ""broken_support"": 83315.9}",SL_BEFORE_TP,-1.6848894719568037,-1.1661026705904152
ET27-00302,SHORT_CONTINUATION_PRACTICAL_TARGET,BTCUSDT,SHORT,2025-03-04T13:15:00Z,82568.01,84027.74680759644,79648.5363848071,FIXED_2R_STRONG_MOMENTUM,3.035628440646779,6.071256881293558,2.0,2.776394350719586,"{""pivot_highs"": [[5951, 84120.0], [5955, 83979.66]], ""pivot_lows"": [[5949, 83698.11], [5953, 83248.66]], ""broken_support"": 83248.66}",SL_BEFORE_TP,-2.0079205391972605,-1.1357527075899996
ET27-00303,MOMENTUM_BREAKDOWN_PULLBACK,SOLUSDT,SHORT,2025-03-04T13:15:00Z,132.91,134.91858238313426,129.8971264252986,FIXED_1_5R,1.2781145405532297,1.9171718108298357,1.499999999999993,2.928007054797666,"{""breakdown_time"": ""2025-03-04T13:00:00Z"", ""broken_support"": 135.38, ""pullback_bars"": 1, ""breakdown_volume_ratio"": 1.753799408654042}",SL_BEFORE_TP,-1.7512349583434415,-1.1588105136629971
ET27-00304,SHORT_CONTINUATION_PRACTICAL_TARGET,ETHUSDT,SHORT,2025-03-04T16:15:00Z,2025.32,2090.1274820266613,1928.108776960008,FIXED_1_5R,2.046025249114923,3.0690378736723813,1.4999999999999982,1.2410956847782348,"{""pivot_highs"": [[5962, 2158.32], [5967, 2084.67]], ""pivot_lows"": [[5962, 2041.0], [5965, 2025.62]], ""broken_support"": 2025.62}",SL_BEFORE_TP,-3.439863825304709,-1.0750031917302436
ET27-00305,SHORT_CONTINUATION_PRACTICAL_TARGET,BTCUSDT,SHORT,2025-03-06T13:45:00Z,89569.13,90982.51970131081,86742.35059737839,FIXED_2R_STRONG_MOMENTUM,3.2499411555157303,6.4998823110314605,2.0,1.663143999322777,"{""pivot_highs"": [[6137, 91667.5], [6142, 91606.53]], ""pivot_lows"": [[6140, 91003.71], [6147, 89829.02]], ""broken_support"": 89829.02}",SL_BEFORE_TP,-1.8179875290859775,-1.1520924567376118
